phase,seq,flag,min_mm,local_v,local_w,edge_v,edge_w,t_send_s,rtt_ms,v_out,w_out,mode,state,switch_us,n_sw,bad_lines,ok
paced,1,0,287,220,0,150,511,0.000271,1.294,150,511,0,1,33,44,0,1
paced,2,0,214,220,0,150,-776,0.050487,1.136,150,-776,0,1,0,44,0,1
paced,3,0,270,220,0,150,209,0.100499,1.143,150,209,0,1,0,44,0,1
paced,4,0,610,220,0,150,114,0.150542,1.034,150,114,0,0,0,44,0,1
paced,5,0,538,220,0,150,1410,0.200296,1.274,150,1410,0,0,0,44,0,1
paced,6,0,364,220,0,150,-1436,0.250645,1.866,150,-1436,0,1,0,44,0,1
paced,7,0,649,220,0,150,-1704,0.300420,1.220,150,-1704,0,0,0,44,0,1
paced,8,0,549,220,0,150,-48,0.350396,1.216,150,-48,0,0,0,44,0,1
paced,9,0,772,220,0,150,1302,0.400407,1.162,150,1302,0,0,0,44,0,1
paced,10,0,152,220,0,150,1030,0.450395,1.189,150,1030,0,2,0,44,0,1
paced,11,0,606,220,0,150,-730,0.500761,1.826,150,-730,0,0,0,44,0,1
paced,12,0,384,220,0,150,601,0.550758,1.846,150,601,0,1,0,44,0,1
paced,13,0,254,220,0,150,-520,0.600711,2.048,150,-520,0,1,0,44,0,1
paced,14,0,181,220,0,150,-1729,0.650709,1.973,150,-1729,0,2,0,44,0,1
paced,15,0,176,220,0,150,840,0.700701,1.824,150,840,0,2,0,44,0,1
paced,16,0,704,220,0,150,-1783,0.750498,1.161,150,-1783,0,0,0,44,0,1
paced,17,0,540,220,0,150,991,0.800312,1.252,150,991,0,0,0,44,0,1
paced,18,0,371,220,0,150,-92,0.850670,1.872,150,-92,0,1,0,44,0,1
paced,19,0,179,220,0,150,341,0.900312,1.289,150,341,0,2,0,44,0,1
paced,20,0,377,220,0,150,1308,0.950567,1.992,150,1308,0,1,0,44,0,1
paced,21,0,598,220,0,150,210,1.000634,1.867,150,210,0,0,0,44,0,1
paced,22,0,716,220,0,150,-866,1.050424,1.174,150,-866,0,0,0,44,0,1
paced,23,0,503,220,0,150,-875,1.100366,1.205,150,-875,0,0,0,44,0,1
paced,24,0,374,220,0,150,1296,1.150315,1.293,150,1296,0,1,0,44,0,1
